Scan speed(mm/sec),Hatch distance(mm),Power (watt),Layer thickness(mm),Linear energy density(joule/m),Energy density (joule/mm^3),Density (g/cc),Densification
800,0.14,370,0.06,462.5,55.06,2.48,0.9928
850,0.14,370,0.06,435.29,51.82,2.48,0.992
900,0.14,370,0.06,411.11,48.94,2.48,0.9908
950,0.14,370,0.06,389.47,46.37,2.48,0.9908
1000,0.14,370,0.06,370,44.05,2.47,0.9896
1050,0.14,370,0.06,352.38,41.95,2.48,0.99
1100,0.14,370,0.06,336.36,40.04,2.47,0.9888
1150,0.14,370,0.06,321.74,38.3,2.46,0.9844
1200,0.14,370,0.06,308.33,36.71,2.46,0.9856
1250,0.14,370,0.06,296,35.24,2.48,0.9936
1300,0.14,370,0.06,284.62,33.88,2.47,0.988
1350,0.14,370,0.06,274.07,32.63,2.46,0.9824
1400,0.14,370,0.06,264.29,31.46,2.46,0.982
800,0.15,370,0.06,462.5,51.39,2.47,0.9864
850,0.15,370,0.06,435.29,48.37,2.47,0.986
900,0.15,370,0.06,411.11,45.68,2.47,0.988
950,0.15,370,0.06,389.47,43.27,2.47,0.9896
1000,0.15,370,0.06,370,41.11,2.47,0.9892
1050,0.15,370,0.06,352.38,39.15,2.47,0.9888
1100,0.15,370,0.06,336.36,37.37,2.47,0.988
1150,0.15,370,0.06,321.74,35.75,2.47,0.988
1200,0.15,370,0.06,308.33,34.26,2.47,0.986
1250,0.15,370,0.06,296,32.89,2.46,0.9832
1300,0.15,370,0.06,284.62,31.62,2.47,0.9868
1350,0.15,370,0.06,274.07,30.45,2.45,0.98
1400,0.15,370,0.06,264.29,29.37,2.47,0.986
950,0.11,330,0.06,347.37,52.63,2.44,0.9764
1050,0.12,330,0.06,314.29,43.65,2.46,0.982
1150,0.13,330,0.06,286.96,36.79,2.47,0.9868
1250,0.14,330,0.06,264,31.43,2.45,0.9788
1350,0.15,330,0.06,244.44,27.16,2.46,0.982
1050,0.11,340,0.06,323.81,49.06,2.46,0.982
